En,Nk
a nation geared for war,전쟁준비를 갖춘 나라
gear up for the New Year production,새해 생산준비에 모든 힘을 다하다
gear up the building of socialism,사회주의건설을 촉진하다
gear up production,생산고를 올리다
gear lever,변속 기계
Gee up,이랴
The team needs a captain who can gee them up a bit,그 팀에는 팀을 좀 더 활기있게 이끌고나갈 주장이 필요하다
a computer geek,박식한 콤퓨터광신자
have a geek at,을 보다
hair gel,머리겔
a handsome man with gelled hair,머리에 겔을 바른 미남자
Dont start writing until the idea has gelled in your mind,생각을 굳히기전에는 글을 쓰지 말라
gellant,물리화학
gel,물리화학
She gave a gelid reply,그 녀자는 랭랭하게 대답하였다
Idaho,미국 주의 속칭
Is that the true gen,그 정보가 사실인가
She has all the gen on cheap flights,그 녀자는 값이 눅은 비행기들에 대해서 죄다 안다
John genned up on the countrys history,죤은 그 나라의 력사에 대한 자료를 찾아냈다
oxy gen nitro gene,발생시키는것
oxy gen nitro gene,이 생기는것
culti gen acro gen,에서 생긴것
the neuter gender,중성
differences between the genders,성별에 따르는 차이
Does this test show the gender of the baby,이 시험으로 아이의 성별을 알수 있을가요
gendered occupations,성별에 따르는 직업
human genes,사람의 유전자
mix the genes,유전자를 교잡하다
the genes that regulate cell division,세포분렬을 규제하는 유전인자
a general attack,총 공격
My general impression of the place was good,총적으로 그곳에 대한 나의 인상은 좋았다
a general opinion,일반적여론
the general public,일반사회
the general public,대중
the general public,공중
general knowledge,일반지식
a general outline,개요
speak in general terms,일반적인 술어로 말하다
a governor general,총독
the general manager,총지배인
the General Secretary of the UN,유엔사무총장
as a general rule,일반적으로
as a general thing,통례로
as a general thing,대체로
I hate paperwork as a general rule,나는 일반적으로 문서놀음을 싫어한다
in a general way,일반적으로
in a general way,대체로
the general theory of relativity,일반상대성리론
in general,전반적으로
in general,대체로
in general,보통
In general men are taller than women,대체로 남자들은 녀자들보다 크다
our understanding of culture in general and of literature in particular,문화에 대한 우리의 일반적인 리해와 문학에 대한 상세한 리해
descend from generalities to particulars,개론으로부터 각론으로 들어가다
The report is full of errors and sweeping generalizations,보고서는 오유와 지나친 개괄투성이다
It is easy to generalize about the subject,그 주제에 대해서 개괄하기는 쉽다
generalize an elite education,수재교육을 일반화하다
It was generally a positive conversation,대체로 긍정적인 대화였다
"she's not really ill, just generally rundown",그 녀자는 실지 아픈것이 아니고 그저 쇠약해졌을뿐이다
The opinion of the meeting was generally favourable,모인 사람들의 의견은 대체로 호의적이였다
generally speaking,대체로
generally speaking,일반적으로 말한다면
France generates a large part of its electricity from nuclear power,프랑스는 많은 전기를 원자력에서 얻는다
The friction between the satellite and the atmosphere generates great heat,위성과 대기사이의 마찰은 커다란 열을 발생시킨다
The project generated enormous interest,그 계획은 커다란 리익을 가져왔다
The programme would generate a lot of new jobs,그 계획으로 하여 많은 새로운 직업들이 생겨나게 될것이다
from generation,대대로
to generation,대를 이어
generation after generation,대대로
generation after generation,자자손손
the last generation,전대
the future generations,후대
the future generations,후세
for generations,몇대에 걸쳐서
the new generation of mobile phones,새 세대 휴대용손전화
electricity generation from wind power,풍력을 리용한 전력생산
a generative cell,생식세포
the generative organs,생식기
his generosity to the poor,가난한 사람들에게 베푸는 그의 아량
Her friends take advantage of her generosity,그 녀자의 친구들은 그의 고운 마음씨를 악용하였다
she's always very generous to the kids,그 녀자는 아이들에게 너그럽다
he's been very generous with his money,그는 돈을 가지고 린색하게 굴지 않는다
a generous glass of wine,큰 포도주잔
genetic information,유전정보
a genetic defect,유전적결손
a genetic disease,유전병
genetic research,유전학연구
a genial smile,상냥한 웃음
genous patho genic iatro genic,의 다른형
genie genius,또는 의 복수형
a genital gland,생식선
It was such a brilliant idea a stroke of genius,천재적인 착상이야
It was such a brilliant idea a stroke of genius,아주 멋있는 생각이다
an infant genius,신동
The film was about an evil genius who wanted to control the world,그 영화는 세계를 지배하려 했던 한 악마에 대한 이야기이다
have a genius for music be a genius at music,음악에 재간이 있다
That woman has a genius for organization,그 녀자에게는 조직적수완이 있다
video video,서로 다른 신호 혹은 신호와 콤퓨터신호나 음성신호를 일치시키는 장치
genlock,기술로 일치시키다
the human genome,인간게놈
What genre does the book fall into comedy or tragedy,"그 책은 어떤 형식이냐, 희극이냐 비극이냐"
Science fiction as a genre is relatively new,문학사조로서의 과학환상은 상대적으로 새롭다
Ghent,의 흘란더즈어이름
a genteel old lady,점잖은 귀부인
He came from a genteel family,그는 명문가출신이다
he's very gentle with his kids,그는 애들에게는 아주 상냥하다
"He had a gentle touch, a musicians touch",그에게는 음악가다운 부드러운데가 있다
You can actually accomplish a lot more by gentle persuasion,잘 설득하면 좀 더 큰것을 얻을수 있어
Melt the butter over a gentle heat,연한 불에서 빠다를 녹이렴
a gentle slope,밋밋한 비탈
He was a perfect gentleman,그는 이를데 없는 신사였다
a gentlemens club,신사구락부
Gentlemen,신사여러분
"Excuse me, this gentleman has a question for you",미안하지만 이 신사가 당신께 질문이 있답니다
a gentleman of fortune,해적 사기군 모험가
a gentleman of the road,로상강도
The area where I grew up has been all modernized and gentrified and has lost all its old character,내가 자란 지역은 모든것이 현대화되고 고급주택들이 들어와 옛 모습을 찾아볼수 없다
a gentrified Irish American,신사티를 내는 아일랜드계 미국인
the bespectacled gentry,안경낀 제씨들
the genuine signature,친필서명
genuine leather,진짜 가죽
in genuine surprise,정말로 깜짝 놀라서
he's a very genuine person,그는 아주 진실한 사람이다
"If you want to meet a real Southerner, Jake is the genuine article",진짜 남부사람을 만나고싶으면 제이크를 만나봐라 그는 거기출신이야
Some fake pictures are so good that people have no idea theyre not buying the genuine article,어떤 가짜그림들은 너무 훌륭해서 사람들은 그것을 살 때 진품이 아니라는 생각을 전혀 하지 못한다
the geocentric theory,천동설
geographical features,지세
physical geography,지문학
physical geography,자연지리학
We learnt about the geography of Australia,우리는 오스트랄리아의 지리에 대해 배웠다
a geological epoch,지질년대
a geology teacher,지질학교원
"An officer must know some chemistry and biology, and the local geology and geography","군인은 화학과 생물학, 그리고 해당 지역의 지질과 지형에 대해서 좀 알고있어야 한다"
Geometric pottery,기하학적무늬자기
the laws of geometry,기하법칙들
a geometry lesson,기하수업
analytical geometry,해석기하학
the geometry of a DNA molecule DNA,분자의 기하학적배렬
International Geophysical Year,국제지구관측년
Tyne,영국동북부 강변의 주민 그 방언
the Georgian era,죠지왕조시대
geriatric medicine,로인의학 로년의학
geriatric patient,로인병환자
a geriatric rock star,늙어빠진 록크음악가수
Wash your hands so you dont get germs on the food,음식에 병균이 묻지 않게 손을 씻어라
Rats and flies spread germs,쥐나 파리는 병균을 퍼뜨린다
High German,고지도이췰란드어
Low German,저지도이췰란드어
Philadelphia,미국 시의 서북부지구
The beans will only germinate if the temperature is warm enough,콩은 온도가 따뜻해야만이 싹이 튼다
make a gesture of despair,절망적인 몸짓을 하다
The prisoner raised his fist in a gesture of defiance,죄수는 반항의 표시로 주먹을 들어보였다
She made a rude gesture at the other driver,그 녀자는 다른 운전사에게 무례한 손짓을 해보였다
say something as a gesture of sympathy,동정의 표시로 몇마디 하다
Its simply a gesture,그것은 단순한 제스츄어에 지나지 않는다
He gestured for her to take a seat,그는 그 녀자에게 자리에 않으라고 몸짓으로 신호하였다
"When he asked where the children were, she gestured vaguely in the direction of the beach",그가 아이들의 행처를 묻자 그 녀자는 해변가쪽을 애매하게 가리켰다
"He made no answer but walked on, gesturing for me to follow",그는 아무 대답도 하지 않고 나더러 따라오라는듯 걷기만 했다
He gestured his dissent at this,그는 이에 대한 불찬성의 뜻을 몸짓으로 나타냈다
get a moment,시간이 좀 있다
get some time off,휴가를 받다
He cleared his throat to get our attention,그는 우리의 주의를 끌기 위해 헛기침을 했다
We need to get help quickly,빨리 도움을 받는것이 필요해
When did you get the news about Sam,넌 쌤에 대한 소식을 어디서 들었니
get a good education,훌륭한 교육을 받다
She began to get an uncomfortable feeling that she was being watched,그 녀자는 자기에게 주목이 쏠리고있다는 불쾌한 느낌이 들기 시작했다
